id,name,close_approach_date,diameter_km,velocity_kmh,miss_distance_km,is_hazardous
3661494,(2014 CE13),2025-02-19,0.0907904103,60500.3030265575,3434808.414131694,False
3743897,(2016 CO246),2025-02-19,0.0411187571,40223.1543096506,33031067.742581157,False
3759722,(2016 SZ1),2025-02-19,0.0326617897,50344.1390181985,21566261.578847637,False
3801945,(2018 FD),2025-02-19,0.0831840342,85167.239920682,74076175.674850601,False
3837981,(2019 BV1),2025-02-19,0.0103285648,99997.1843893772,69260145.715106961,False
3838874,(2019 DB2),2025-02-19,0.0430566244,53181.6865340123,58518894.213598695,False
54016641,(2020 HW2),2025-02-19,0.0625230245,71775.8753204477,48447001.357167823,False
54178995,(2021 PW2),2025-02-19,0.0434550225,41417.6267558178,51566790.15204261,False
54239559,(2022 BH),2025-02-19,0.0368162863,76478.3021826479,72131813.487411206,False
54248462,(2022 DG2),2025-02-19,0.0120792502,37322.4956468868,4410167.707119648,False
54469017,(2024 RQ5),2025-02-19,0.0146568276,16418.5103611866,42593117.280088202,False
54516265,(2025 BX),2025-02-19,0.04446722,15285.3116925619,9280183.678521242,False
54519990,(2025 DF),2025-02-19,0.0138816145,14220.1876940997,278598.132872245,False
54520160,(2025 DE1),2025-02-19,0.0582693239,42068.4608731882,575555.245466204,False
54520162,(2025 DG1),2025-02-19,0.0181234126,30523.8859122046,704943.31089685,False
3370278,(2007 EK),2025-02-18,0.0082042706,79931.8339256855,68757446.621982428,False
3514798,(2010 FG81),2025-02-18,0.1472448042,32261.5864163409,14630965.675734124,False
3709400,(2015 BL514),2025-02-18,0.0714562102,33732.5697860754,28867796.749063971,False
3843793,(2019 RM1),2025-02-18,0.016369672,29737.17122916,41044467.713224992,False
54130035,(2021 EP),2025-02-18,0.0351592805,37201.2650846284,32598883.939207896,False
54130488,(2021 EO1),2025-02-18,0.0340439527,37121.2170722172,20601659.13566182,False
54147685,(2021 KF2),2025-02-18,0.154184238,54000.815908387,36278522.536925659,False
54195870,(2021 RL10),2025-02-18,0.1175005715,69148.0272162118,55428859.642198197,False
54265631,(2022 FQ1),2025-02-18,0.0505871228,65588.0860161425,51117440.008046636,False
54289177,(2022 MP2),2025-02-18,0.0371569432,21908.5195845463,27770210.371406105,False
54495430,(2024 UZ2),2025-02-18,0.0816657545,46952.4924920977,62175694.467452695,False
54518886,(2025 CA2),2025-02-18,0.0356483948,26537.3021155585,5099934.927456265,False
54518916,(2025 CG2),2025-02-18,0.1047224945,75176.6805699361,9174526.996399111,False
54520041,(2025 DW),2025-02-18,0.0040573267,28578.4733909498,122573.209261731,False
54520168,(2025 DN1),2025-02-18,0.0804340578,64864.1023310077,20506889.094453838,False
3404165,(2008 DL4),2025-02-17,0.0247765013,21287.0273338422,13372373.109469845,False
3743123,(2016 CA138),2025-02-17,0.1294314984,51905.2590193273,10955900.314821835,False
3797750,(2018 BP1),2025-02-17,0.0714562102,36884.6640040093,8928767.286447797,False
54054711,(2020 SR6),2025-02-17,0.0430566244,37345.9555192057,47877987.502964174,False
54073360,(2020 UP),2025-02-17,0.0929051906,48383.6508577904,34284898.144889939,False
54246616,(2022 CK6),2025-02-17,0.0287104486,52474.9681850461,35483679.208840594,False
54248645,(2022 DM4),2025-02-17,0.0085514543,67916.916826042,49435314.045483124,False
54339966,(2023 BC2),2025-02-17,0.0487573371,69346.8781127917,46164273.187201025,False
54404085,(2023 VR5),2025-02-17,0.0172202709,9320.7960422735,11608540.051545899,False
54480237,(2024 SH),2025-02-17,0.067303861,44637.7811523394,56436066.436775989,False
54480954,(2024 SS),2025-02-17,0.0403682552,22455.0017217546,37022749.425696224,False
54518675,(2025 CG1),2025-02-17,0.0895447192,13688.690861559,20819414.363705726,False
54519997,(2025 DN),2025-02-17,0.016674007,30583.4165444069,1321931.436754633,False
54519998,(2025 DO),2025-02-17,0.0477793216,19513.5624002002,2040690.918774481,False
54520093,(2025 DB1),2025-02-17,0.0227740347,21150.1053873346,2663772.509952465,False
2322756,322756 (2001 CK32),2025-02-16,0.8473054089,79611.3243682841,63055129.063032859,False
3263232,(2004 XG),2025-02-16,0.0875064325,32707.2852154823,5971250.427757493,False
3557958,(2011 DT9),2025-02-16,0.0542050786,53523.4324033325,70190193.264371254,False
3717081,(2015 HS11),2025-02-16,0.0225964377,13114.5048585211,36645545.756706428,False
